Txn ID,Txn Date,Source Type,Source ID,Batch Code,SKU,Product Name,Variant / Color,Warehouse,Qty In,Qty Out,Unit Cost (EGP),Total Cost (EGP),Currency,Unit Price (Orig),Notes
TXN-77D425F6E833,2025-08-15,SHIP_UAE_EG,"SUEG|272055875001026833|LL-160985c3-5fa8-4efc-8fa2-2b0b73a0bfc1|BEST-M|Pink, Size: M|S0|D15|OUT",QC-000010||BEST-M,BEST-M,Best-selling New Products Butterfly ...,"Pink, Size: M",ATTIA,0,15,107.95,1619.25,EGP,,"UAE→EG OUT (ATTIA), delta=15"
TXN-9C2184DA647D,2025-08-20,SHIP_UAE_EG,"SUEG|272055875001026833|LL-160985c3-5fa8-4efc-8fa2-2b0b73a0bfc1|BEST-M|Pink, Size: M|S0|D15|IN",QC-000010||BEST-M,BEST-M,Best-selling New Products Butterfly ...,"Pink, Size: M",TAN-GH,15,0,157.95,2369.25,EGP,,"UAE→EG IN (TAN-GH), delta=15, landedCost=157.95"
TXN-0A894934AB21,2025-07-20,SHIP_UAE_EG,SUEG|XAE20250714368000075441|LL-eeaeb8aa-7326-4a91-b16f-a94d600f9621|HYUNDAI-CO3-BLACK|Black|S0|D1|OUT,QC-000001||HYUNDAI-CO3-BLACK,HYUNDAI-CO3-BLACK,HYUNDAI HY-CO3 Minimalist Bluetooth Earphones,Black,KOR,0,1,302.26,302.26,EGP,,"UAE→EG OUT (KOR), delta=1"
TXN-600CA88BB0A2,2025-07-25,SHIP_UAE_EG,SUEG|XAE20250714368000075441|LL-eeaeb8aa-7326-4a91-b16f-a94d600f9621|HYUNDAI-CO3-BLACK|Black|S0|D1|IN,QC-000001||HYUNDAI-CO3-BLACK,HYUNDAI-CO3-BLACK,HYUNDAI HY-CO3 Minimalist Bluetooth Earphones,Black,TAN-GH,1,0,612.26,612.26,EGP,,"UAE→EG IN (TAN-GH), delta=1, landedCost=612.26"
TXN-CBE05D1DC51C,2025-07-20,SHIP_UAE_EG,SUEG|XAE20250714368000075441|LL-b0795e7c-d345-496a-8a93-3fd0a4259e8f|HYUNDAI-CO3-WHITE|White|S0|D1|OUT,QC-000004||HYUNDAI-CO3-WHITE,HYUNDAI-CO3-WHITE,HYUNDAI HY-CO3 Minimalist Bluetooth Earphones,White,KOR,0,1,302.26,302.26,EGP,,"UAE→EG OUT (KOR), delta=1"
TXN-49A83B30A98E,2025-07-25,SHIP_UAE_EG,SUEG|XAE20250714368000075441|LL-b0795e7c-d345-496a-8a93-3fd0a4259e8f|HYUNDAI-CO3-WHITE|White|S0|D1|IN,QC-000004||HYUNDAI-CO3-WHITE,HYUNDAI-CO3-WHITE,HYUNDAI HY-CO3 Minimalist Bluetooth Earphones,White,TAN-GH,1,0,612.26,612.26,EGP,,"UAE→EG IN (TAN-GH), delta=1, landedCost=612.26"
TXN-91F74A0C16A4,2025-07-20,SHIP_UAE_EG,SUEG|XAE20250714368000075441|LL-46053922-51f5-47be-b1bf-20747a6e6903|HYUNDAI-CO3-PURPLE|Purple|S0|D1|OUT,QC-000005||HYUNDAI-CO3-PURPLE,HYUNDAI-CO3-PURPLE,HYUNDAI HY-CO3 Minimalist Bluetooth Earphones,Purple,KOR,0,1,302.26,302.26,EGP,,"UAE→EG OUT (KOR), delta=1"
TXN-E53A97B2B8A8,2025-07-25,SHIP_UAE_EG,SUEG|XAE20250714368000075441|LL-46053922-51f5-47be-b1bf-20747a6e6903|HYUNDAI-CO3-PURPLE|Purple|S0|D1|IN,QC-000005||HYUNDAI-CO3-PURPLE,HYUNDAI-CO3-PURPLE,HYUNDAI HY-CO3 Minimalist Bluetooth Earphones,Purple,TAN-GH,1,0,612.26,612.26,EGP,,"UAE→EG IN (TAN-GH), delta=1, landedCost=612.26"
TXN-183E90181121,2025-07-25,SHIP_UAE_EG,SUEG|3057626187836027|LL-559ba1ab-b9f2-4042-9ceb-93184a33b113|MONSTER-MQT65-BEIGE|MQT65 Beige|S0|D3|OUT,QC-000006||MONSTER-MQT65-BEIGE,MONSTER-MQT65-BEIGE,Monster MQT65 OWS Bluetooth 5.4,MQT65 Beige,KOR,0,3,291.12,873.36,EGP,,"UAE→EG OUT (KOR), delta=3"
TXN-80D5DEB3DB2A,2025-07-27,SHIP_UAE_EG,SUEG|3057626187836027|LL-559ba1ab-b9f2-4042-9ceb-93184a33b113|MONSTER-MQT65-BEIGE|MQT65 Beige|S0|D3|IN,QC-000006||MONSTER-MQT65-BEIGE,MONSTER-MQT65-BEIGE,Monster MQT65 OWS Bluetooth 5.4,MQT65 Beige,TAN-GH,3,0,601.12,1803.36,EGP,,"UAE→EG IN (TAN-GH), delta=3, landedCost=601.12"
TXN-00B053434C65,2025-07-25,SHIP_UAE_EG,SUEG|3057626187836027|LL-79f778ed-30a9-4258-8e71-10675a5ff93c|MONSTER-MQT65-PURPLE|MQT65 Purple|S0|D3|OUT,QC-000007||MONSTER-MQT65-PURPLE,MONSTER-MQT65-PURPLE,Monster MQT65 OWS Bluetooth 6.0,MQT65 Purple,ATTIA,0,3,291.12,873.36,EGP,,"UAE→EG OUT (ATTIA), delta=3"
TXN-630814F3280D,2025-07-27,SHIP_UAE_EG,SUEG|3057626187836027|LL-79f778ed-30a9-4258-8e71-10675a5ff93c|MONSTER-MQT65-PURPLE|MQT65 Purple|S0|D3|IN,QC-000007||MONSTER-MQT65-PURPLE,MONSTER-MQT65-PURPLE,Monster MQT65 OWS Bluetooth 6.0,MQT65 Purple,TAN-GH,3,0,601.12,1803.36,EGP,,"UAE→EG IN (TAN-GH), delta=3, landedCost=601.12"
TXN-328E40347327,2025-07-25,SHIP_UAE_EG,SUEG|3057626187836027|LL-541427d3-47c5-4895-b9c5-6188b179c331|MONSTER-MQT65-BLACK|MQT65 Black|S0|D3|OUT,QC-000008||MONSTER-MQT65-BLACK,MONSTER-MQT65-BLACK,Monster MQT65 OWS Bluetooth 6.0,MQT65 Black,KOR,0,3,291.12,873.36,EGP,,"UAE→EG OUT (KOR), delta=3"
TXN-6F376E0F8962,2025-07-27,SHIP_UAE_EG,SUEG|3057626187836027|LL-541427d3-47c5-4895-b9c5-6188b179c331|MONSTER-MQT65-BLACK|MQT65 Black|S0|D3|IN,QC-000008||MONSTER-MQT65-BLACK,MONSTER-MQT65-BLACK,Monster MQT65 OWS Bluetooth 6.0,MQT65 Black,TAN-GH,3,0,591.12,1773.36,EGP,,"UAE→EG IN (TAN-GH), delta=3, landedCost=591.12"
TXN-71847E4D72D2,2025-07-25,SHIP_UAE_EG,SUEG|3057626187836027|LL-caf0b3bd-27cc-4687-a22e-28807e711ef4|MONSTER-MQT65-BEIGE|MQT65 Beige|S0|D2|OUT,QC-000009||MONSTER-MQT65-BEIGE,MONSTER-MQT65-BEIGE,Monster MQT65 OWS Bluetooth 6.0,MQT65 Beige,ATTIA,0,2,291.12,582.24,EGP,,"UAE→EG OUT (ATTIA), delta=2"
TXN-D63963C6C27C,2025-07-27,SHIP_UAE_EG,SUEG|3057626187836027|LL-caf0b3bd-27cc-4687-a22e-28807e711ef4|MONSTER-MQT65-BEIGE|MQT65 Beige|S0|D2|IN,QC-000009||MONSTER-MQT65-BEIGE,MONSTER-MQT65-BEIGE,Monster MQT65 OWS Bluetooth 6.0,MQT65 Beige,TAN-GH,2,0,291.12,582.24,EGP,,"UAE→EG IN (TAN-GH), delta=2, landedCost=291.12"
TXN-783530609791,2025-08-15,SHIP_UAE_EG,"SUEG|272055875001026833|LL-160985c3-5fa8-4efc-8fa2-2b0b73a0bfc1|BEST-M|Pink, Size: M|S15|D5|OUT",QC-000010||BEST-M,BEST-M,Best-selling New Products Butterfly ...,"Pink, Size: M",ATTIA,0,5,107.95,539.75,EGP,,"UAE→EG OUT (ATTIA), delta=5"
TXN-80F2A314EE0E,2025-08-20,SHIP_UAE_EG,"SUEG|272055875001026833|LL-160985c3-5fa8-4efc-8fa2-2b0b73a0bfc1|BEST-M|Pink, Size: M|S15|D5|IN",QC-000010||BEST-M,BEST-M,Best-selling New Products Butterfly ...,"Pink, Size: M",TAN-GH,5,0,157.95,789.75,EGP,,"UAE→EG IN (TAN-GH), delta=5, landedCost=157.95"
TXN-5B7996E42CC3,2025-07-20,SHIP_UAE_EG,SUEG|XAE20250714368000075441|LL-eeaeb8aa-7326-4a91-b16f-a94d600f9621|HYUNDAI-CO3-BLACK|Black|S1|D2|OUT,QC-000001||HYUNDAI-CO3-BLACK,HYUNDAI-CO3-BLACK,HYUNDAI HY-CO3 Minimalist Bluetooth Earphones,Black,KOR,0,2,302.26,604.52,EGP,,"UAE→EG OUT (KOR), delta=2"
TXN-B0822832429A,2025-07-25,SHIP_UAE_EG,SUEG|XAE20250714368000075441|LL-eeaeb8aa-7326-4a91-b16f-a94d600f9621|HYUNDAI-CO3-BLACK|Black|S1|D2|IN,QC-000001||HYUNDAI-CO3-BLACK,HYUNDAI-CO3-BLACK,HYUNDAI HY-CO3 Minimalist Bluetooth Earphones,Black,TAN-GH,2,0,612.26,1224.52,EGP,,"UAE→EG IN (TAN-GH), delta=2, landedCost=612.26"
TXN-8DD79738C722,2025-07-25,SHIP_UAE_EG,SUEG|3057626187836027|LL-79f778ed-30a9-4258-8e71-10675a5ff93c|MONSTER-MQT65-PURPLE|MQT65 Purple|S3|D2|OUT,QC-000007||MONSTER-MQT65-PURPLE,MONSTER-MQT65-PURPLE,Monster MQT65 OWS Bluetooth 6.0,MQT65 Purple,ATTIA,0,2,291.12,582.24,EGP,,"UAE→EG OUT (ATTIA), delta=2"
TXN-3FE91B1522F4,2025-07-27,SHIP_UAE_EG,SUEG|3057626187836027|LL-79f778ed-30a9-4258-8e71-10675a5ff93c|MONSTER-MQT65-PURPLE|MQT65 Purple|S3|D2|IN,QC-000007||MONSTER-MQT65-PURPLE,MONSTER-MQT65-PURPLE,Monster MQT65 OWS Bluetooth 6.0,MQT65 Purple,TAN-GH,2,0,601.12,1202.24,EGP,,"UAE→EG IN (TAN-GH), delta=2, landedCost=601.12"
TXN-D8175F9C78B2,2025-07-25,SHIP_UAE_EG,SUEG|3057626187836027|LL-541427d3-47c5-4895-b9c5-6188b179c331|MONSTER-MQT65-BLACK|MQT65 Black|S3|D1|OUT,QC-000008||MONSTER-MQT65-BLACK,MONSTER-MQT65-BLACK,Monster MQT65 OWS Bluetooth 6.0,MQT65 Black,KOR,0,1,291.12,291.12,EGP,,"UAE→EG OUT (KOR), delta=1"
TXN-3672DD962F3D,2025-07-27,SHIP_UAE_EG,SUEG|3057626187836027|LL-541427d3-47c5-4895-b9c5-6188b179c331|MONSTER-MQT65-BLACK|MQT65 Black|S3|D1|IN,QC-000008||MONSTER-MQT65-BLACK,MONSTER-MQT65-BLACK,Monster MQT65 OWS Bluetooth 6.0,MQT65 Black,TAN-GH,1,0,591.12,591.12,EGP,,"UAE→EG IN (TAN-GH), delta=1, landedCost=591.12"
TXN-2725A53E1D65,2025-07-25,SHIP_UAE_EG,SUEG|3057626187836027|LL-caf0b3bd-27cc-4687-a22e-28807e711ef4|MONSTER-MQT65-BEIGE|MQT65 Beige|S2|D3|OUT,QC-000009||MONSTER-MQT65-BEIGE,MONSTER-MQT65-BEIGE,Monster MQT65 OWS Bluetooth 6.0,MQT65 Beige,ATTIA,0,3,291.12,873.36,EGP,,"UAE→EG OUT (ATTIA), delta=3"
TXN-813585070E01,2025-07-27,SHIP_UAE_EG,SUEG|3057626187836027|LL-caf0b3bd-27cc-4687-a22e-28807e711ef4|MONSTER-MQT65-BEIGE|MQT65 Beige|S2|D3|IN,QC-000009||MONSTER-MQT65-BEIGE,MONSTER-MQT65-BEIGE,Monster MQT65 OWS Bluetooth 6.0,MQT65 Beige,TAN-GH,3,0,291.12,873.36,EGP,,"UAE→EG IN (TAN-GH), delta=3, landedCost=291.12"
TXN-D0DEF48D9977,2025-12-26,QC_UAE,QC-000011,272055875001026833||HOT-M,HOT-M,Hot Selling Tiktok Earphone Jewelry Bras...,"Pink, Size: M",ATTIA,20,0,107.95,2159.00,AED,32.385,"Imported from QC_UAE (QC ID: QC-000011, row 2, Order 272055875001026833)"
TXN-CEEF1439A840,2025-12-26,QC_UAE,QC-000012,272055875001026833||FACTORY-MULTI,FACTORY-MULTI,Factory OEM Butterfly Open Ear Freeclip...,Multi,ATTIA,20,0,107.95,2159.00,AED,32.385,"Imported from QC_UAE (QC ID: QC-000012, row 3, Order 272055875001026833)"
TXN-19C85E498428,2025-08-15,SHIP_UAE_EG,"SUEG|272055875001026833|LL-be4b7e8c-6b4c-483f-b3ca-9e62e33ca270|HOT-M|Pink, Size: M|S0|D20|OUT",QC-000011||HOT-M,HOT-M,Hot Selling Tiktok Earphone Jewelry Bras...,"Pink, Size: M",ATTIA,0,20,107.95,2159.00,EGP,,"UAE→EG OUT (ATTIA), delta=20"
TXN-2AD0A3BE4BD5,2025-08-20,SHIP_UAE_EG,"SUEG|272055875001026833|LL-be4b7e8c-6b4c-483f-b3ca-9e62e33ca270|HOT-M|Pink, Size: M|S0|D20|IN",QC-000011||HOT-M,HOT-M,Hot Selling Tiktok Earphone Jewelry Bras...,"Pink, Size: M",TAN-GH,20,0,162.95,3259.00,EGP,,"UAE→EG IN (TAN-GH), delta=20, landedCost=162.95"
TXN-33FC563BFA51,2025-08-15,SHIP_UAE_EG,SUEG|272055875001026833|LL-4c07726f-4748-44ff-a2e4-e61190fb6c35|FACTORY-MULTI|Multi|S0|D20|OUT,QC-000012||FACTORY-MULTI,FACTORY-MULTI,Factory OEM Butterfly Open Ear Freeclip...,Multi,ATTIA,0,20,107.95,2159.00,EGP,,"UAE→EG OUT (ATTIA), delta=20"
TXN-5A2FD6232341,2025-08-20,SHIP_UAE_EG,SUEG|272055875001026833|LL-4c07726f-4748-44ff-a2e4-e61190fb6c35|FACTORY-MULTI|Multi|S0|D20|IN,QC-000012||FACTORY-MULTI,FACTORY-MULTI,Factory OEM Butterfly Open Ear Freeclip...,Multi,TAN-GH,20,0,162.95,3259.00,EGP,,"UAE→EG IN (TAN-GH), delta=20, landedCost=162.95"
